id,poblacion,densidad,juzg.unico,v008,v016,v028,v029,v066,v112,v113,v114,v115,v118,v119,v120,v121,v122,v123,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v191,v192,v193,v194,v195,v197,v198,v199,v202,v203,v204,v214,years.judge
II001,9586,6.94,1,1,2,2,6,1,4,4,5,5,4,2,7,2,2,10,1,1,1,5,6,1,5,6,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,2,0,6,11,2,4,9
II002,47166,21.69,0,1,2,2,6,1,3,3,4,3,3,2,7,3,3,3,1,1,1,1,6,1,4,6,1,1,5,1,1,1,1,1,5,1,1,1,1,1,2,2,4,2,2,0,3,10,13,4,6
II003,13834,6.96,1,1,2,2,6,2,3,4,4,3,7,2,7,6,7,6,1,4,1,1,5,1,1,5,1,1,4,1,1,3,4,1,1,1,1,1,2,2,2,1,1,1,1,3,9,6,10,5,10
II004,57695,20.25,0,1,2,2,6,1,4,3,5,4,4,2,7,2,3,7,1,1,1,1,4,1,4,6,1,1,3,4,1,5,1,1,1,1,1,1,1,1,2,2,5,2,2,0,6,11,13,4,3
II005,28260,21.71,1,1,2,1,1,2,4,4,4,4,4,1,4,3,3,2,1,1,1,3,6,1,1,6,4,1,5,1,1,5,5,4,5,6,1,1,1,1,3,2,4,1,1,0,10,11,2,3,11
II006,54448,29.42,0,1,2,1,3,1,4,4,4,4,3,1,3,3,1,2,1,1,1,1,5,1,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,1,0,2,7,3,4,7
II007,40454,63.1,0,1,2,2,6,2,1,5,3,3,3,1,3,1,2,3,1,1,1,6,6,1,6,6,1,1,5,4,1,4,1,1,1,5,1,1,1,1,3,2,5,2,2,0,3,11,3,1,5
II008,32583,91.58,0,1,2,2,6,2,3,4,5,5,3,1,1,3,11,2,1,1,1,2,5,1,2,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,3,2,5,2,2,0,7,7,13,4,5
II009,55876,46.67,0,1,2,2,6,2,3,5,5,5,2,2,7,2,2,4,1,1,1,6,6,1,6,6,1,1,5,5,1,5,6,6,1,5,1,1,1,2,1,2,3,1,2,0,12,11,13,5,7
II010,55876,46.67,0,1,2,2,6,1,3,5,5,5,5,1,1,1,2,1,1,3,1,5,5,1,5,6,1,1,4,5,1,6,5,1,1,4,1,1,1,1,2,2,5,1,4,0,12,11,1,4,3
II011,35612,23.29,0,1,2,2,6,2,3,4,5,5,4,1,1,7,3,3,1,5,1,1,6,1,6,6,1,1,5,5,1,5,4,5,5,5,1,1,1,1,3,2,3,2,1,0,7,3,3,4,4
II012,67067,92.69,0,1,2,1,1,2,4,5,4,5,5,1,5,4,2,1,1,6,1,5,6,1,5,6,4,1,5,1,1,5,3,5,5,1,1,1,1,2,1,2,2,1,1,1,3,10,2,3,4
