cpj	id	original	pj	jutjat	prov	num_juzg	poblacion	superficie	densidad	municipios	aut	pro	perc.1yr	perc.5yr	perc.10yr	juzg.unico	v006	v007	v008	v016	v025	v028	v029	v066	v067	v068	v069	v070	v071	v072	v080	v081	v112	v113	v114	v115	v116	v117	v118	v119	v120	v121	v122	v123	v135	v136	v137	v138	v139	v140	v141	v142	v143	v144	v145	v146	v147	v148	v149	v150	v151	v152	v153	v154	v155	v156	v157	v158	v159	v160	v161	v162	v164	v165	v166	v167	v168	v169	v170	v171	v172	v173	v174	v175	v176	v177	v178	v179	v180	v181	v182	v183	v184	v185	v186	v187	v188	v191	v192	v193	v194	v195	v196	v197	v198	v199	v200	v201	v202	v203	v204	v214	v215	years.judge	X0.15	X16.64	X65.y.mas	perc.0.15	perc.16.64	perc.65.	reemplazo	dependencia
1006	II001	1	Valencia de Alcántara	Valencia de Alcántara (único)	Cáceres	1	9586	1380.72	6.94	8	11	10	-1.3	-3.57	-3.88	1	53	33	1	2	10	2	6	1	1	2	1	1	1	1	2	1	4	4	5	5	4	1	4	2	7	2	2	10	1	1	1	5	6	1	5	6	1	1	4	1	1	1	1	1	1	1	1	1	1	1	4	6	1	1	2	2	2	7	7	7	7	7	7	7	7	7	7	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	4	1968	2	2	0	9	3	6	11	2	4	0	9	1037	5708	2841	10.82	59.55	29.64	0.365	0.679
1002	II002	1	Coria	Coria 1	Cáceres	2	47166	2174.42	21.69	36	11	10	-0.13	-1.08	-4.99	0	12	36	1	2	10	2	6	1	2	2	1	1	1	1	4	1	3	3	4	3	3	1	3	2	7	3	3	3	1	1	1	1	6	1	4	6	1	1	5	1	1	1	1	1	5	1	1	1	1	3	5	7	1	1	2	1	2	7	7	7	7	7	7	7	7	7	7	2	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	4	1971	2	2	0	14	5	3	10	13	4	1	6	6133	29610	11423	13	62.78	24.22	0.537	0.593
1007	II003	1	Logrosán	Logrosán (único)	Cáceres	1	13834	1986.77	6.96	12	11	10	-0.52	-5.41	-14.24	1	13	32	1	2	10	2	6	2	1	2	1	1	1	1	4	1	3	4	4	3	3	2	7	2	7	6	7	6	1	4	1	1	5	1	1	5	1	1	4	1	1	3	4	1	1	1	1	1	1	1	5	7	1	1	2	2	2	7	7	7	7	7	7	7	7	7	7	1	2	1	1	1	2	1	2	1	1	1	1	1	1	2	2	2	1	1	1965	1	1	3	2	4	9	6	10	5	0	10	1433	8148	4253	10.36	58.9	30.74	0.337	0.698
1003	II004	1	Navalmoral de la Mata	Navalmoral de la Mata 1	Cáceres	2	57695	2849.08	20.25	42	11	10	0.68	-1.14	0.81	0	4	39	1	2	10	2	6	1	2	1	1	1	1	1	4	2	4	3	5	4	4	1	4	2	7	2	3	7	1	1	1	1	4	1	4	6	1	1	3	4	1	5	1	1	1	1	1	1	1	1	4	7	2	1	2	1	2	7	7	7	7	7	7	7	7	7	7	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	5	1974	2	2	0	14	5	6	11	13	4	1	3	8648	37435	11612	14.99	64.88	20.13	0.745	0.541
608	II005	1	Jerez de los Caballeros	Jerez de los Caballeros	Badajoz	1	28260	1301.62	21.71	9	11	6	-0.46	-0.13	-2.63	1	48	31	1	2	10	1	1	2	1	2	1	1	1	1	3	2	4	4	4	4	4	1	4	1	4	3	3	2	1	1	1	3	6	1	1	6	4	1	5	1	1	5	5	4	5	6	1	1	1	7	5	4	7	5	2	3	2	7	7	7	7	7	7	7	7	7	7	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	3	2	4	1965	1	1	0	2	5	10	11	2	3	0	11	4314	17983	5963	15.27	63.63	21.1	0.723	0.571
607	II006	0	Zafra	Zafra 2	Badajoz	2	54448	1850.44	29.42	18	11	6	-0.05	1.6	0.76	0	13	35	1	2	10	1	3	1	1	2	1	1	1	1	2	1	4	4	4	4	4	1	3	1	3	3	1	2	1	1	1	1	5	1	4	6	1	1	1	1	1	1	1	1	1	1	1	1	1	7	4	7	2	3	2	2	2	7	7	7	7	7	7	7	7	7	7	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	2	2	2	3	1970	2	1	0	2	4	2	7	3	4	1	7	8593	35149	10706	15.78	64.56	19.66	0.803	0.549
2302	II007	1	Alcalá la Real	Alcalá la Real 2	Jaen	2	40454	641.06	63.1	4	1	23	0.25	0.89	1.96	0	33	37	1	2	10	2	6	2	1	2	1	1	1	1	5	1	1	5	3	3	4	1	3	1	3	1	2	3	1	1	1	6	6	1	6	6	1	1	5	4	1	4	1	1	1	5	1	1	1	7	4	1	1	3	2	1	2	7	7	7	7	7	7	7	7	7	7	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	3	2	5	1972	2	2	0	10	5	3	11	3	1	1	5	6111	25237	9106	15.11	62.38	22.51	0.671	0.603
1410	II008	1	Cabra	Cabra	Córdoba	2	32583	355.78	91.58	4	1	14	-0.48	0.8	1.9	0	4	37	1	2	10	2	6	2	1	2	1	1	1	1	3	1	3	4	5	5	6	1	3	1	1	3	11	2	1	1	1	2	5	1	2	1	1	1	5	1	1	5	1	1	1	1	1	1	1	7	7	7	3	3	2	2	2	7	7	7	7	7	7	7	7	7	7	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	3	2	5	1972	2	2	0	14	5	7	7	13	4	1	5	5222	21141	6220	16.03	64.88	19.09	0.84	0.541
4110	II009	1	Écija	Écija 1	Jaén	2	55876	1197.33	46.67	4	1	41	0.32	2.95	6.14	0	56	35	1	2	10	2	6	2	1	2	1	1	1	1	1	1	3	5	5	5	4	1	2	2	7	2	2	4	1	1	1	6	6	1	6	6	1	1	5	5	1	5	6	6	1	5	1	1	1	1	5	5	1	7	2	1	2	7	7	7	7	7	7	7	7	7	7	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	2	3	1970	1	2	0	1	3	12	11	13	5	1	7	9920	37596	8360	17.75	67.28	14.96	1.187	0.486
4110	II010	1	Écija	Écija 2	Jaén	2	55876	1197.33	46.67	4	1	41	0.32	2.95	6.14	0	48	39	1	2	10	2	6	1	1	2	1	1	1	1	3	1	3	5	5	5	4	1	5	1	1	1	2	1	1	3	1	5	5	1	5	6	1	1	4	5	1	6	5	1	1	4	1	1	1	7	4	4	1	5	2	1	1	7	7	7	2	7	7	7	7	7	7	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	5	1974	1	4	0	2	5	12	11	1	4	1	3	9920	37596	8360	17.75	67.28	14.96	1.187	0.486
